Well,Sample_ID
A01,PBS
B01,BEADS
C01,AAH_ONT_20230923_062_FC_B2
D01,AAH_ONT_20230923_062_FC_B2
E01,AAH_ONT_20230923_062_FC_B2
F01,AAH_ONT_20230923_064_FC_B1
G01,AAH_ONT_20230923_064_FC_B1
H01,AAH_ONT_20230923_064_FC_B1
A02,AAH_ONT_20230517_055_FC_E2
B02,AAH_ONT_20230517_055_FC_E2
C02,AAH_ONT_20230517_055_FC_E2
D02,AAH_ONT_20230519_012_FC_E1
E02,AAH_ONT_20230519_012_FC_E1
F02,AAH_ONT_20230519_012_FC_E1
G02,AAH_ONT_20230927_033_FC_M2
H02,AAH_ONT_20230927_033_FC_M2
A03,AAH_ONT_20230927_033_FC_M2
B03,AAH_ONT_20230517_041_FC_E1
C03,AAH_ONT_20230517_041_FC_E1
D03,AAH_ONT_20230517_041_FC_E1
E03,AAH_ONT_20230515_074_FC_B2
F03,AAH_ONT_20230515_074_FC_B2
G03,AAH_ONT_20230515_074_FC_B2
H03,AAH_ONT_20230927_012_FC_B1
A04,AAH_ONT_20230927_012_FC_B1
B04,AAH_ONT_20230927_012_FC_B1
C04,AAH_ONT_20230517_055_FC_B1
D04,AAH_ONT_20230517_055_FC_B1
E04,AAH_ONT_20230517_055_FC_B1
F04,AAH_ONT_20230926_041_FC_M2
G04,AAH_ONT_20230926_041_FC_M2
H04,AAH_ONT_20230926_041_FC_M2
A05,AAH_ONT_20230923_066_FC_B1
B05,AAH_ONT_20230923_066_FC_B1
C05,AAH_ONT_20230923_066_FC_B1
D05,AAH_ONT_20230925_055_FC_B1
E05,AAH_ONT_20230925_055_FC_B1
F05,AAH_ONT_20230925_055_FC_B1
G05,AAH_ONT_20230518_033_FC_B1
H05,AAH_ONT_20230518_033_FC_B1
A06,AAH_ONT_20230518_033_FC_B1
B06,AAH_ONT_20230927_033_FC_M1
C06,AAH_ONT_20230927_033_FC_M1
D06,AAH_ONT_20230927_033_FC_M1
E06,AAH_ONT_20230926_043_FC_B2
F06,AAH_ONT_20230926_043_FC_B2
G06,AAH_ONT_20230926_043_FC_B2
H06,AAH_ONT_20230926_048_FC_M1
A07,AAH_ONT_20230926_048_FC_M1
B07,AAH_ONT_20230926_048_FC_M1
C07,AAH_ONT_20230519_012_FC_M1
D07,AAH_ONT_20230519_012_FC_M1
E07,AAH_ONT_20230519_012_FC_M1
F07,AAH_ONT_20230517_717_FC_E1
G07,AAH_ONT_20230517_717_FC_E1
H07,AAH_ONT_20230517_717_FC_E1
A08,AAH_ONT_20230516_066_FC_E2
B08,AAH_ONT_20230516_066_FC_E2
C08,AAH_ONT_20230516_066_FC_E2
D08,AAH_ONT_20230516_064_FC_M1
E08,AAH_ONT_20230516_064_FC_M1
F08,AAH_ONT_20230516_064_FC_M1
G08,AAH_ONT_20230924_717_FC_E1
H08,AAH_ONT_20230924_717_FC_E1
A09,AAH_ONT_20230924_717_FC_E1
B09,AAH_ONT_20230926_048_FC_M2
C09,AAH_ONT_20230926_048_FC_M2
D09,AAH_ONT_20230926_048_FC_M2
E09,AAH_ONT_20230926_043_FC_E2
F09,AAH_ONT_20230926_043_FC_E2
G09,AAH_ONT_20230926_043_FC_E2
H09,AAH_ONT_20230924_717_FC_B2
A10,AAH_ONT_20230924_717_FC_B2
B10,AAH_ONT_20230924_717_FC_B2
C10,AAH_ONT_20230517_041_FC_B2
D10,AAH_ONT_20230517_041_FC_B2
E10,AAH_ONT_20230517_041_FC_B2
F10,AAH_ONT_20230519_008_FC_E2
G10,AAH_ONT_20230519_008_FC_E2
H10,AAH_ONT_20230519_008_FC_E2
A11,AAH_ONT_20230927_012_FC_B2
B11,AAH_ONT_20230927_012_FC_B2
C11,AAH_ONT_20230927_012_FC_B2
D11,AAH_ONT_20230927_008_FC_B1
E11,AAH_ONT_20230927_008_FC_B1
F11,AAH_ONT_20230927_008_FC_B1
G11,AAH_ONT_20230515_074_FC_M1
H11,AAH_ONT_20230515_074_FC_M1
A12,AAH_ONT_20230515_074_FC_M1
B12,AAH_ONT_20230516_048_FC_E1
C12,AAH_ONT_20230516_048_FC_E1
D12,AAH_ONT_20230516_048_FC_E1
E12,AAH_ONT_20230519_017_FC_E2
F12,AAH_ONT_20230519_017_FC_E2
G12,AAH_ONT_20230519_017_FC_E2
H12,PBS
