Well,Sample_ID
A01,PBS
B01,BEADS
C01,AAH_ONT_20230927_017_FC_B2
D01,AAH_ONT_20230927_017_FC_B2
E01,AAH_ONT_20230927_017_FC_B2
F01,AAH_ONT_20230518_035_FC_B1
G01,AAH_ONT_20230518_035_FC_B1
H01,AAH_ONT_20230518_035_FC_B1
A02,AAH_ONT_20230926_038_FC_E1
B02,AAH_ONT_20230926_038_FC_E1
C02,AAH_ONT_20230926_038_FC_E1
D02,AAH_ONT_20230927_033_FC_E2
E02,AAH_ONT_20230927_033_FC_E2
F02,AAH_ONT_20230927_033_FC_E2
G02,AAH_ONT_20230923_066_FC_E2
H02,AAH_ONT_20230923_066_FC_E2
A03,AAH_ONT_20230923_066_FC_E2
B03,AAH_ONT_20230515_074_FC_B1
C03,AAH_ONT_20230515_074_FC_B1
D03,AAH_ONT_20230515_074_FC_B1
E03,AAH_ONT_20230925_055_FC_E1
F03,AAH_ONT_20230925_055_FC_E1
G03,AAH_ONT_20230925_055_FC_E1
H03,AAH_ONT_20230516_048_FC_B2
A04,AAH_ONT_20230516_048_FC_B2
B04,AAH_ONT_20230516_048_FC_B2
C04,AAH_ONT_20230923_062_FC_E2
D04,AAH_ONT_20230923_062_FC_E2
E04,AAH_ONT_20230923_062_FC_E2
F04,AAH_ONT_20230517_055_FC_M1
G04,AAH_ONT_20230517_055_FC_M1
H04,AAH_ONT_20230517_055_FC_M1
A05,AAH_ONT_20230519_008_FC_E1
B05,AAH_ONT_20230519_008_FC_E1
C05,AAH_ONT_20230519_008_FC_E1
D05,AAH_ONT_20230927_033_FC_E1
E05,AAH_ONT_20230927_033_FC_E1
F05,AAH_ONT_20230927_033_FC_E1
G05,AAH_ONT_20230516_064_FC_B1
H05,AAH_ONT_20230516_064_FC_B1
A06,AAH_ONT_20230516_064_FC_B1
B06,AAH_ONT_20230516_048_FC_E2
C06,AAH_ONT_20230516_048_FC_E2
D06,AAH_ONT_20230516_048_FC_E2
E06,AAH_ONT_20230927_017_FC_E2
F06,AAH_ONT_20230927_017_FC_E2
G06,AAH_ONT_20230927_017_FC_E2
H06,AAH_ONT_20230926_048_FC_B2
A07,AAH_ONT_20230926_048_FC_B2
B07,AAH_ONT_20230926_048_FC_B2
C07,AAH_ONT_20230926_038_FC_B1
D07,AAH_ONT_20230926_038_FC_B1
E07,AAH_ONT_20230926_038_FC_B1
F07,AAH_ONT_20230517_041_FC_M2
G07,AAH_ONT_20230517_041_FC_M2
H07,AAH_ONT_20230517_041_FC_M2
A08,AAH_ONT_20230516_064_FC_E2
B08,AAH_ONT_20230516_064_FC_E2
C08,AAH_ONT_20230516_064_FC_E2
D08,AAH_ONT_20230926_035_FC_B2
E08,AAH_ONT_20230926_035_FC_B2
F08,AAH_ONT_20230926_035_FC_B2
G08,AAH_ONT_20230927_029_FC_E1
H08,AAH_ONT_20230927_029_FC_E1
A09,AAH_ONT_20230927_029_FC_E1
B09,AAH_ONT_20230926_035_FC_M2
C09,AAH_ONT_20230926_035_FC_M2
D09,AAH_ONT_20230926_035_FC_M2
E09,AAH_ONT_20230518_035_FC_E1
F09,AAH_ONT_20230518_035_FC_E1
G09,AAH_ONT_20230518_035_FC_E1
H09,AAH_ONT_20230926_048_FC_E1
A10,AAH_ONT_20230926_048_FC_E1
B10,AAH_ONT_20230926_048_FC_E1
C10,AAH_ONT_20230518_033_FC_M2
D10,AAH_ONT_20230518_033_FC_M2
E10,AAH_ONT_20230518_033_FC_M2
F10,AAH_ONT_20230516_048_FC_B1
G10,AAH_ONT_20230516_048_FC_B1
H10,AAH_ONT_20230516_048_FC_B1
A11,AAH_ONT_20230517_041_FC_B1
B11,AAH_ONT_20230517_041_FC_B1
C11,AAH_ONT_20230517_041_FC_B1
D11,AAH_ONT_20230518_033_FC_B2
E11,AAH_ONT_20230518_033_FC_B2
F11,AAH_ONT_20230518_033_FC_B2
G11,AAH_ONT_20230925_055_FC_M2
H11,AAH_ONT_20230925_055_FC_M2
A12,AAH_ONT_20230925_055_FC_M2
B12,AAH_ONT_20230927_029_FC_M2
C12,AAH_ONT_20230927_029_FC_M2
D12,AAH_ONT_20230927_029_FC_M2
E12,AAH_ONT_20230926_041_FC_B2
F12,AAH_ONT_20230926_041_FC_B2
G12,AAH_ONT_20230926_041_FC_B2
H12,PBS
