DNA_ID,input,filtered,denoisedF,denoisedR,merged,nochim,perc_reads_retained,Sample_ID,Concentration_ng_ul,Filter_Extracted,Extraction_Date,Lot_Number,Project_ID,Location_ID,Date_Collected,Station_ID,Deployment_ID,FP_or_PT_Sample_Remaining_fraction,SD_remaining_est,Freezer_Temp_NegDegrees,Notes,Date,D_Number,Deployment_Type,Niskin_bottles,Deployment_Depth_m,Integrated_Depths_m,Depth_Class,Max_Depth,Temp_at_Deployment,Deployment_Time,Total_Filtration_Time_min,Volume_Filtered_mL,Storage_Code,Fraction,Replicate,Upper_Size_um,Lower_Size_um,NOTES,Start_Filtration_Time,End_Filtration_Time,Latitude,Longitude,lag,water_extracted,month,avg_cells_per_ml,Depth_Range,Chem_Depth,is_Fmax,is_stratified,EPA_Comments,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,DOC,Si,chl_a,pressure,temperature,conductivity,oxygenRaw,par,beamAttenuation,beamTransmission,fluorescence,spar,upoly,oxygen,conductivity2,flag,salinity,temperature2,oxygenRaw2,conductivity3,oxygen2,transect,good_oxygen
AP_D48,85157,59990,58717,58719,56423,54219,63.66945759009829,AAH_ONT_20230518_035_FP_MW1,66.6,0.5,20230616,172033163,AAH,ONT,20230518,35,AAH_ONT_20230518_035_1,0.5,NA,NA,NA,20230518,1,Rosette Cast,2,10,NA,M,NA,NA,0-01-01T07:58:00Z,NA,3400,FF,Whole,1,20,0.22,NA,0-01-01T08:21:00Z,0-01-01T08:41:00Z,43.36183333333334,-78.72948333333333,43,1700,May,4610370.219663827,< 10 m,10,yes,unstratified,NA,22.5,260,0.872,450,5.99,1.5616116027025106,11.655,32.12,9.078,19.5582,21.8859,2.628,0.692,2.44,9.838,11.0645,205.506672,2.3626,18.65,1.0546,76.8238,1.4664,1254.3,0.3011768,12.249,284.927,0,1798670.636807952,NA,NA,NA,NA,T2,12.249
AP_D57,85794,61815,60788,60781,58928,57030,66.47317994265333,AAH_ONT_20230519_012_FP_MW1,119,0.5,20230616,172033163,AAH,ONT,20230519,12,AAH_ONT_20230519_012_2,0.5,NA,NA,NA,20230519,2,Rosette Cast,3,15,NA,M,NA,NA,0-01-01T10:34:00Z,NA,4610,FF,Whole,1,20,0.22,NA,0-01-01T10:50:00Z,0-01-01T11:17:00Z,43.5035,-79.35378333333334,43,2305,May,4883028.244531429,10-20 m,15,yes,stratified,NA,5.87,282,1.26,474,5.37,1.401345224815463,13.799999999999999,32.48,9.154,23.1792,23.2234,2.601,0.847,3.2,14.741,6.135,194.109511,2.3272,53.725,0.5001,88.2467,1.0586,1453.2,0.3406742,13.692,311.71,0,2202433.535422276,NA,NA,NA,NA,T1,13.692
AP_D71,65781,46650,45326,45404,43875,43137,65.57668627719251,AAH_ONT_20230927_008_FP_BW1,30.3,0.5,20231017,175026656_1,AAH,ONT,20230927,8,AAH_ONT_20230927_008_2,0.75,NA,NA,NA,20230927,2,Rosette Cast,3,13.4,NA,B,NA,NA,0-01-01T20:03:00Z,NA,4150,FF,Whole,1,20,0.22,NA,0-01-01T20:14:00Z,0-01-01T20:39:00Z,43.62221667,-79.45091667,36,2075,September,5355816.939442781,10-20 m,13.4,no,unstratified,NA,44,161,1.27,381,3.23,1.537,13.008000000000001,29.96,8.638,22.3409,22.0139,2.68,0.63,1.48,13.126,18.9671,265.366108,0.0281,1e-12,0.8972,79.9083,0.86081,1.9691,0.2974395,-2.1942,266.409762,0,2100446.481866441,18.9651,2.5055,301.743,9.1178,T1,9.1178
AP_D79,87034,64826,63279,63201,61048,59815,68.7260151205276,AAH_ONT_20230927_017_FP_EW1,42.6,0.5,20231013,175026656_1,AAH,ONT,20230927,17,AAH_ONT_20230927_017_1,0.75,NA,NA,NA,20230927,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T15:00:00Z,NA,4100,FF,Whole,1,20,0.22,NA,0-01-01T15:14:00Z,0-01-01T15:42:00Z,43.22538333,-79.27113333,42,2050,September,7701508.49689155,< 10 m,5,no,unstratified,NA,25,185,1.18,396,3.48,1.459,12.657,27.94,8.518,20.2255,19.8245,2.734,0.76,2.74,4.89,18.4061,264.595054,0.0281,352.99,0.9538,78.7843,0.97802,1843.1,0.3194746,-2.2159,265.679468,0,2155803.080348457,18.4088,2.5336,304.761,9.3385,T1,9.3385
AP_D87,92657,66077,64604,64595,62320,60785,65.6021671325426,AAH_ONT_20230927_029_FP_BW1,34.2,0.25,20231016,175026656_1,AAH,ONT,20230927,29,AAH_ONT_20230927_029_3,0.75,NA,NA,In tubes labeled as E1,20230927,3,Rosette Cast,3,27.9,NA,B,NA,NA,0-01-01T04:19:00Z,NA,3540,FF,Whole,1,20,0.22,NA,0-01-01T04:29:00Z,0-01-01T04:54:00Z,43.81948333,-78.87111667,35,885,September,6258326.209072069,20-30 m,27.9,no,unstratified,NA,15.6,135,0.352,358,4.28,1.276,12.803999999999998,30.58,8.512,23.2538,22.6415,2.884,0.675,2.12,27.3385,19.0286,266.222196,0.0281,1e-12,1.0093,77.6995,0.8315,0,0.0558845,-2.1969,267.323319,0,2110362.1476927334,19.026049999999998,2.5385,302.305,9.2689,T2,9.2689
AP_D95,68617,50118,48770,48761,46828,45623,66.48935395018727,AAH_ONT_20230926_035_FP_EW1,27.7,0.25,20231009,172033163,AAH,ONT,20230926,35,AAH_ONT_20230926_035_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T14:18:00Z,NA,3600,FF,Whole,1,20,0.22,NA,0-01-01T14:29:00Z,0-01-01T14:49:00Z,43.36143333,-78.72943333,31,900,September,5246625.645866912,< 10 m,5,NA,NA,NA,26.1,262,0.796,501,4.28,1.507,13.068,30.32,8.478,23.0837,22.7659,2.452,1.08,1.85,4.926,12.7614,231.676218,0.0269,457.22,0.7168,83.5939,0.6044,1679.6,0.0554688,-2.5186,232.894246,0,2186751.3871201016,12.7454,2.4335,306.859,10.0621,T2,10.0621
PCR_Blanks,19650,50,31,31,31,31,0.15776081424936386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP_D103,107525,67981,65744,65755,62586,59808,55.622413392234364,AAH_ONT_20230926_038_FP_BW1,6.32,0.25,20231009,172033163,AAH,ONT,20230926,38,AAH_ONT_20230926_038_2,0.75,NA,NA,NA,20230926,2,Rosette Cast,3,16.6,NA,B,NA,NA,0-01-01T10:29:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T10:39:00Z,0-01-01T11:05:00Z,43.38313333,-77.98871667,36,1000,September,1743858.6064932076,10-20 m,16.6,no,unstratified,NA,11,378,0.813,582,4.29,1.581,13.464000000000002,31.25,8.6,23.2611,23.0832,2.409,1.29,0.51,16.27,5.2679,192.17360300000001,0.0244,25.162,0.3194,92.3245,0.2381,1331.1,0.0554688,-3.0671,193.483397,0,2290132.894401092,5.2685,2.1624,317.434,10.4544,T3,10.4544
AP_D111,84930,62672,61514,61508,59294,57780,68.03249735075944,AAH_ONT_20230926_043_FP_EW1,26.3,0.25,20231006,172033163,AAH,ONT,20230926,43,AAH_ONT_20230926_043_1,0.75,NA,NA,NA,20230926,1,Rosette Cast,3,5,NA,E,NA,NA,0-01-01T04:13:00Z,NA,3860,FF,Whole,1,20,0.22,In tube labeled as BW1,0-01-01T04:21:00Z,0-01-01T04:46:00Z,43.94891667,-78.04683333,33,965,September,5944201.109371402,< 10 m,5,no,unstratified,NA,9.94,133,0.352,362,4.41,1.501,13.413,29.22,8.578,23.5313,22.9945,3.061,0.694,2.45,4.939,19.4589,268.258563,0.0134,1e-12,0.9208,79.4378,1.1172,0,0.0554688,-2.2356,269.331659,0,2098030.3174161497,19.4562,2.5495,301.668,9.2125,T3,9.2125
AP_D119,88583,63098,62147,61954,59686,58314,65.82978675366606,AAH_ONT_20230926_048_FP_BW1,32.5,0.25,20231011,175026656_1,AAH,ONT,20230926,48,AAH_ONT_20230926_048_3,0.75,NA,NA,NA,20230926,3,Rosette Cast,3,31.5,NA,B,NA,NA,0-01-01T00:45:00Z,NA,4000,FF,Whole,1,20,0.22,NA,0-01-01T00:56:00Z,0-01-01T01:21:00Z,43.87971667,-77.43926667,36,1000,September,6280260.530508865,30-40 m,31.5,no,unstratified,NA,11.3,128,0.352,329,4.43,1.556,13.23,28.53,8.554,23.6881,22.7589,2.618,0.469,2.13,30.912,19.2562,267.83746,0.0171,1e-12,0.757,82.7575,0.80586,0,0.0558845,-2.2337,268.845406,0,2114154.626762108,19.2538,2.4383,302.545,8.7755,T4,8.7755
